기간,국가,HS코드,품목명,수출중량,수출금액,수입중량,수입금액,무역수지
총계,,,,87784097,80033636,159527209.8,110613031,-30579396
2005,가나,72,철강,1294.2,1260,0,0,1260
2005,가봉,72,철강,47.3,43,0,0,43
2005,가이아나,72,철강,403,352,0,0,352
2005,과델로프,72,철강,274.2,326,0,0,326
2005,과테말라,72,철강,10115.8,6867,0,0,6867
2005,괌,72,철강,9343.2,4723,258.9,76,4647
2005,그레나다,72,철강,1552.6,1555,0,0,1555
2005,그리스,72,철강,5955.2,3367,31.2,37,3330
2005,기니,72,철강,15.5,36,1.5,14,22
2005,기타국,72,철강,504.7,462,188.9,236,226
2005,나이지리아,72,철강,23216.1,13442,0,0,13442
2005,남아프리카공화국,72,철강,20778.9,27203,514628.1,436140,-408938
2005,남조지아 & 남샌드위치 군도,72,철강,0,0,3.4,17,-17
2005,네덜란드,72,철강,26421.5,25865,102213.4,107172,-81307
2005,네팔,72,철강,1959.7,1225,0,0,1225
2005,노르웨이,72,철강,615.6,574,10302.6,11164,-10591
2005,노폴크 아일랜드,72,철강,0,0,40,35,-35
2005,뉴 칼레도니아,72,철강,2439.7,2124,32765.1,109152,-107028
2005,뉴질랜드,72,철강,60721.6,56955,53078.2,15150,41805
2005,대만,72,철강,511265.3,493994,320795.4,344184,149811
2005,덴마크,72,철강,16129.4,8988,16.9,39,8950
2005,도미니카,72,철강,0,0,1240,8149,-8149
2005,도미니카 공화국,72,철강,5807.8,5241,11238.5,62207,-56966
2005,독일,72,철강,26540.2,35877,71607.3,124684,-88807
2005,라오스,72,철강,295.9,330,0,0,330
2005,라이베리아,72,철강,0,0,38.8,2,-2
2005,라트비아,72,철강,240.7,254,286.9,452,-199
2005,러시아 연방,72,철강,37457.7,49153,2945514,1028884,-979731
2005,레바논,72,철강,2170.2,2498,0,0,2498
2005,레소토,72,철강,72.2,66,0,0,66
2005,루마니아,72,철강,10918.7,14277,59933.1,41218,-26941
2005,룩셈부르그,72,철강,135.8,301,241.2,203,98
2005,르완다,72,철강,148,134,0,0,134
2005,리비아,72,철강,15159.6,9961,0,0,9961
2005,리투아니아,72,철강,586.8,654,229.5,378,276
2005,마다카스카르,72,철강,143.9,149,0,0,149
2005,마샬군도,72,철강,121.8,156,0,0,156
2005,마이크로네시아,72,철강,1307.7,877,0,0,877
2005,마티니크,72,철강,801.2,889,0,0,889
2005,말라위,72,철강,108.1,96,0,0,96
