기간,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지,수출금액비율,수익금액비율
총계,,,188242319,630206879,553570701.5,642169209,-11962331,,
2023,87,철도용이나 궤도용 외의 차량과 그 부분품ㆍ부속품,8208038.7,91532574,1239001.7,22134905,69397670,14.5,3.4
2023,85,"전기기기와 그 부분품, 녹음기ㆍ음성 재생기ㆍ텔레비전의 영상과 음성의 기록기ㆍ재생기와 이들의 부분품ㆍ부속품",2534054.6,171301418,2133299.4,119478239,51823179,27.2,18.6
2023,39,플라스틱과 그 제품,17090320.3,35040437,2938534.7,12710272,22330164,5.6,2
2023,89,선박과 수상 구조물,9307700.5,20306580,1956214.2,1643657,18662922,3.2,0.3
2023,84,원자로ㆍ보일러ㆍ기계류와 이들의 부분품,5063839.7,72756923,2446765.6,63072734,9684189,11.5,9.8
2023,72,철강,25661345.5,25725965,19899461.5,16471724,9254240,4.1,2.6
2023,29,유기화학품,18228323,20808670,7747941,13571383,7237287,3.3,2.1
2023,33,"정유(essential oil)와 레지노이드(resinoid), 조제향료와 화장품ㆍ화장용품",384592.1,8246696,106600,2046130,6200566,1.3,0.3
2023,40,고무와 그 제품,2643539.1,7075900,889452.3,2896563,4179337,1.1,0.5
2023,73,철강의 제품,3571331.4,10878993,2660499.9,7336696,3542297,1.7,1.1
2023,60,메리야스 편물과 뜨개질 편물,226366,1788741,20173.3,113133,1675609,0.3,0
2023,79,아연과 그 제품,627349.1,1762911,33786.7,106385,1656525,0.3,0
2023,54,"인조필라멘트, 인조방직용 섬유재료의 스트립(strip)과 이와 유사한 것",322532.4,2107283,439691.8,1057108,1050175,0.3,0.2
2023,82,"비금속(卑金屬)으로 만든 공구ㆍ도구ㆍ칼붙이ㆍ스푼ㆍ포크, 이들의 부분품",98959.3,2020189,53067.1,977905,1042284,0.3,0.2
2023,19,곡물ㆍ고운 가루ㆍ전분ㆍ밀크의 조제품과 베이커리 제품,518004.6,1995771,313227.2,1036888,958883,0.3,0.2
2023,55,인조스테이플섬유,805298.9,1403840,175247.7,650636,753203,0.2,0.1
2023,59,"침투ㆍ도포ㆍ피복하거나 적층한 방직용 섬유의 직물, 공업용인 방직용 섬유제품",111208.5,1090489,68387.1,428411,662078,0.2,0.1
2023,83,비금속(卑金屬)으로 만든 각종 제품,278095.5,1540243,134350.5,903107,637136,0.2,0.1
2023,48,"종이와 판지, 제지용 펄프ㆍ종이ㆍ판지의 제품",2705947.2,2775673,1309517.8,2193098,582575,0.4,0.3
2023,24,"담배와 제조한 담배 대용물, 연소시키지 않고흡입하도록 만들어진 물품(니코틴을 함유하였는지에 상관없다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것",107134.3,1052594,69021.8,511861,540733,0.2,0.1
2023,34,비누ㆍ유기계면활성제ㆍ조제 세제ㆍ조제 윤활제ㆍ인조 왁스ㆍ조제 왁스ㆍ광택용이나 연마용 조제품ㆍ양초와 이와 유사한 물품ㆍ조형용 페이스트(paste)ㆍ치과용 왁스와 플라스터(plaster)를 기본 재료로 한 치과용 조제품,621440.9,1583696,267518.2,1082350,501346,0.3,0.2
2023,78,납과 그 제품,352399.8,829067,143438.2,335187,493879,0.1,0.1
2023,86,"철도용이나 궤도용 기관차ㆍ차량과 이들의 부분품, 철도용이나 궤도용 장비품과 그 부분품, 기계식(전기기계식을 포함한다) 각종 교통신호용 기기",144259.9,869951,117871.5,426026,443925,0.1,0.1
2023,32,"유연용ㆍ염색용 추출물(extract), 탄닌과 이들의 유도체, 염료ㆍ안료와 그 밖의 착색제, 페인트ㆍ바니시(varnish), 퍼티(putty)와 그 밖의 매스틱(mastic), 잉크",326994.4,2673169,301692.8,2266005,407164,0.4,0.4
2023,49,"인쇄서적ㆍ신문ㆍ회화ㆍ그 밖의 인쇄물, 수제(手製)문서ㆍ타자문서ㆍ도면",47646.1,462202,14500.6,271497,190704,0.1,0
2023,58,"특수직물, 터프트(tuft)한 직물, 레이스, 태피스트리(tapestry), 트리밍(trimming), 자수천",17240.4,204676,11567.8,85993,118683,0,0
2023,37,사진용이나 영화용 재료,21889.6,1016048,35645.4,958099,57949,0.2,0.1
2023,56,"워딩(wadding)ㆍ펠트(felt)ㆍ부직포, 특수사, 끈ㆍ배의 밧줄(cordage)ㆍ로프ㆍ케이블과 이들의 제품",114499.3,742204,214109.9,709081,33123,0.1,0.1
2023,41,원피(모피는 제외한다)와 가죽,29458.4,293167,92523.3,279690,13477,0,0
2023,99,"일시적 입법 ; 설치된 간이 수정에 따른 입법을 트레이드한다 ; 추가적 수입제한농업인 것의 제 22 부에 따른 확립된 것 조정 행위, 수정된 것처럼",0,0,15652.5,0,0,0,0
2023,45,코르크(cork)와 그 제품,28.9,508,829,5078,-4570,0,0
2023,36,"화약류, 화공품, 성냥, 발화성 합금, 특정 가연성 조제품",3116.1,48444,3628.9,54708,-6265,0,0
2023,50,견,270.8,24210,440.4,34512,-10301,0,0
2023,46,"짚ㆍ에스파르토(esparto)나 그 밖의 조물 재료의 제품, 바구니 세공물(basketware)과 지조세공물(枝條細工物)",37.3,1313,5407.6,27727,-26414,0,0
2023,35,"단백질계 물질, 변성전분, 글루(glue), 효소",67830.6,936555,215833.2,988920,-52365,0.1,0.2
2023,53,"그 밖의 식물성 방직용 섬유, 종이실(paper yarn)과 종이실로 만든 직물",426.7,7931,16362,60518,-52587,0,0
2023,01,살아 있는 동물,35.1,9481,1204.7,81421,-71940,0,0
2023,67,"조제 깃털ㆍ솜털과 그 제품, 조화, 사람 머리카락으로 된 제품",435.9,25356,5980.9,102909,-77554,0,0
2023,14,식물성 편조물(編組物)용 재료와 다른 류로 분류되지 않은 식물성 생산품,204.7,626,437826.1,88596,-87971,0,0
2023,57,양탄자류와 그 밖의 방직용 섬유로 만든 바닥깔개,6221.8,35064,61798.6,124870,-89805,0,0
2023,92,악기와 그 부분품과 부속품,11067.8,113101,8961.9,213955,-100854,0,0
2023,97,예술품ㆍ수집품ㆍ골동품,205,373265,1197.1,484014,-110749,0.1,0.1
2023,66,산류(傘類)ㆍ지팡이ㆍ시트스틱(seat-stick)ㆍ채찍ㆍ승마용 채찍과 이들의 부분품,72.6,2436,20824.5,141123,-138687,0,0
2023,43,모피ㆍ인조모피와 이들의 제품,144.2,7770,1103.6,154668,-146898,0,0
2023,6,"살아 있는 수목과 그 밖의 식물, 인경(鱗莖)ㆍ뿌리와 이와 유사한 물품, 절화(切花)와 장식용 잎",1443.1,10874,86273,167372,-156498,0,0
2023,65,모자류와 그 부분품,3521.8,116093,10344.1,311842,-195749,0,0
