기간,국가,HS코드,품목명,수출중량,수출금액,수입중량,수입금액,무역수지
총계,,,,131868873.9,120921196,161962089.1,119456915,1464281
2010,가나,72,철강,1234.5,1764,428.8,100,1665
2010,가봉,72,철강,65.6,76,0,0,76
2010,가이아나,72,철강,1582.1,1690,444.8,145,1545
2010,과델로프,72,철강,81.8,94,0,0,94
2010,과테말라,72,철강,39939.6,31582,9162.4,3490,28092
2010,괌,72,철강,9513.4,6568,707.1,288,6280
2010,그레나다,72,철강,588.9,573,0,0,573
2010,그리스,72,철강,11685,8666,37.1,4,8662
2010,기니,72,철강,49.2,43,563.4,264,-221
2010,기타국,72,철강,838,2143,3618.7,945,1198
2010,나이지리아,72,철강,20973,13504,1.4,7,13497
2010,남아프리카공화국,72,철강,50239.3,64284,356806.2,393660,-329376
2010,네덜란드,72,철강,59368.4,125089,105542.1,242956,-117866
2010,네팔,72,철강,0,0,0,0,0
2010,노르웨이,72,철강,1915.2,11273,15623.5,42459,-31187
2010,뉴 칼레도니아,72,철강,2626.3,2560,12751.8,26801,-24241
2010,뉴질랜드,72,철강,40869.2,45790,69973.8,29749,16041
2010,니카라과,72,철강,1.6,3,16259.6,6005,-6002
2010,대만,72,철강,1006470.7,1182330,720497.7,711047,471283
2010,덴마크,72,철강,4371,5004,805.6,526,4478
2010,도미니카,72,철강,10.7,12,176.5,59,-47
2010,도미니카 공화국,72,철강,10599.2,12874,17561,15381,-2507
2010,독일,72,철강,36254.2,74803,51728,97060,-22257
2010,라오스,72,철강,588.4,524,0,0,524
2010,라이베리아,72,철강,0,0,11.6,2,-2
2010,라트비아,72,철강,581.7,883,436.9,153,730
2010,러시아 연방,72,철강,90646.8,136179,2110107.4,1107504,-971325
2010,레바논,72,철강,8637.6,10517,0,0,10517
2010,루마니아,72,철강,69870.9,84509,57.8,133,84376
2010,룩셈부르그,72,철강,92.9,147,2746.8,2715,-2568
2010,르완다,72,철강,18.3,0,0,0,0
2010,리비아,72,철강,12879.2,11049,0,0,11049
2010,리투아니아,72,철강,3690.5,5385,719.8,250,5135
2010,마다카스카르,72,철강,244.4,1578,0,0,1578
2010,마샬군도,72,철강,277.4,365,2038.7,726,-361
2010,마이크로네시아,72,철강,1061.8,891,105,38,853
2010,마티니크,72,철강,1200,1350,0,0,1350
2010,말레이시아,72,철강,675328.9,610387,335393.3,150203,460184
2010,말리,72,철강,33.6,12,0,0,12
2010,멕시코,72,철강,977169.4,840028,451325.7,228945,611083
